Title,Date,Year,Month,Day,Day_of_week,show_name,season,episode_name,show_type
Black Mirror: Season 5: Striking Vipers,2019-07-26,2019,July,26,Friday,Black Mirror, Season 5, Striking Vipers,TV Show
15 August,2019-07-25,2019,July,25,Thursday,15 August,,,Movie
Shoplifters,2019-07-23,2019,July,23,Tuesday,Shoplifters,,,Movie
Oprah Winfrey Presents: When They See Us Now,2019-07-20,2019,July,20,Saturday,Oprah Winfrey Presents, When They See Us Now,,TV Show
When They See Us: Limited Series: Part Four,2019-07-20,2019,July,20,Saturday,When They See Us, Limited Series, Part Four,TV Show
When They See Us: Limited Series: Part Three,2019-07-20,2019,July,20,Saturday,When They See Us, Limited Series, Part Three,TV Show
When They See Us: Limited Series: Part Two,2019-07-19,2019,July,19,Friday,When They See Us, Limited Series, Part Two,TV Show
When They See Us: Limited Series: Part One,2019-07-18,2019,July,18,Thursday,When They See Us, Limited Series, Part One,TV Show
Mad Men: Season 1: Marriage of Figaro,2019-07-08,2019,July,8,Monday,Mad Men, Season 1, Marriage of Figaro,TV Show
Family Business: Season 1: Business Plan,2019-07-08,2019,July,8,Monday,Family Business, Season 1, Business Plan,TV Show
Mad Men: Season 1: Ladies Room,2019-07-06,2019,July,6,Saturday,Mad Men, Season 1, Ladies Room,TV Show
Mad Men: Season 1: Smoke Gets in Your Eyes,2019-07-06,2019,July,6,Saturday,Mad Men, Season 1, Smoke Gets in Your Eyes,TV Show
Bob Lazar: Area 51 & Flying Saucers,2019-07-06,2019,July,6,Saturday,Bob Lazar, Area 51 & Flying Saucers,,TV Show
Black Mirror: Season 5: Smithereens,2019-07-05,2019,July,5,Friday,Black Mirror, Season 5, Smithereens,TV Show
Mother's Day,2019-07-05,2019,July,5,Friday,Mother's Day,,,Movie
Fargo: Season 3: Somebody to Love,2019-07-04,2019,July,4,Thursday,Fargo, Season 3, Somebody to Love,TV Show
Fargo: Season 3: Aporia,2019-07-04,2019,July,4,Thursday,Fargo, Season 3, Aporia,TV Show
Fargo: Season 3: Who Rules the Land of Denial?,2019-07-04,2019,July,4,Thursday,Fargo, Season 3, Who Rules the Land of Denial?,TV Show
Fargo: Season 3: The Law of Inevitability,2019-07-04,2019,July,4,Thursday,Fargo, Season 3, The Law of Inevitability,TV Show
Fargo: Season 3: The Lord of No Mercy,2019-07-04,2019,July,4,Thursday,Fargo, Season 3, The Lord of No Mercy,TV Show
Fargo: Season 3: The House of Special Purpose,2019-07-04,2019,July,4,Thursday,Fargo, Season 3, The House of Special Purpose,TV Show
Fargo: Season 3: The Narrow Escape Problem,2019-07-03,2019,July,3,Wednesday,Fargo, Season 3, The Narrow Escape Problem,TV Show
Fargo: Season 3: The Law of Non-Contradiction,2019-07-03,2019,July,3,Wednesday,Fargo, Season 3, The Law of Non-Contradiction,TV Show
Fargo: Season 3: The Principle of Restricted Choice,2019-07-03,2019,July,3,Wednesday,Fargo, Season 3, The Principle of Restricted Choice,TV Show
Fargo: Season 3: The Law of Vacant Places,2019-07-02,2019,July,2,Tuesday,Fargo, Season 3, The Law of Vacant Places,TV Show
Fargo: Season 2: Palindrome,2019-07-02,2019,July,2,Tuesday,Fargo, Season 2, Palindrome,TV Show
Fargo: Season 2: The Castle,2019-07-02,2019,July,2,Tuesday,Fargo, Season 2, The Castle,TV Show
Fargo: Season 2: Loplop,2019-07-02,2019,July,2,Tuesday,Fargo, Season 2, Loplop,TV Show
"Fargo: Season 2: Did You Do This? No, You Did It!",2019-06-29,2019,June,29,Saturday,Fargo, Season 2," Did You Do This? No, You Did It!",TV Show
Fargo: Season 2: Rhinoceros,2019-06-29,2019,June,29,Saturday,Fargo, Season 2, Rhinoceros,TV Show
Fargo: Season 2: The Gift of the Magi,2019-06-29,2019,June,29,Saturday,Fargo, Season 2, The Gift of the Magi,TV Show
